CustomerID,Gender,Age,Annual_Income,Spending_Score,Cluster
1,Male,38,81886,2,0
2,Female,49,95745,67,5
3,Male,40,103251,87,5
4,Male,50,114456,12,2
5,Male,20,73413,20,0
6,Female,35,76800,5,0
7,Male,42,117239,37,0
8,Male,59,62318,38,2
9,Male,48,90173,94,5
10,Female,20,90390,9,0
11,Male,57,72329,98,5
12,Male,63,63088,53,1
13,Male,41,59811,44,4
14,Male,67,75479,99,5
15,Female,49,105392,86,5
16,Male,64,107369,24,2
17,Female,39,39963,81,3
18,Female,40,75123,74,5
19,Female,19,112705,30,0
20,Male,44,93477,59,5
21,Female,59,34388,87,1
22,Male,19,25569,96,3
23,Female,43,89836,81,5
24,Female,34,56586,81,3
25,Female,57,32015,14,4
26,Female,50,65002,9,2
27,Female,26,26254,40,4
28,Female,60,37144,66,1
29,Female,65,44214,25,2
30,Female,56,100719,73,5
31,Male,46,91774,22,2
32,Male,59,26090,4,4
33,Female,43,31637,26,4
34,Female,52,42415,58,1
35,Female,67,44071,29,2
36,Male,42,78243,98,5
37,Female,41,61240,87,3
38,Male,30,103807,37,0
39,Male,24,53434,75,3
40,Male,53,89724,70,5
41,Male,62,95697,18,2
42,Male,37,48732,85,3
43,Female,18,31314,42,4
44,Female,25,43954,100,3
45,Female,63,77108,41,2
46,Female,33,107044,38,0
47,Female,31,107505,34,0
48,Male,29,56668,17,4
49,Female,68,43061,37,1
50,Female,40,99252,25,0
51,Male,32,59749,76,3
52,Female,45,36907,87,1
53,Male,51,38777,86,1
54,Female,19,113229,85,0
55,Male,49,71745,27,2
56,Female,40,111865,57,0
57,Female,39,101818,31,0
58,Male,68,43624,6,2
59,Male,42,43321,91,3
60,Male,39,30488,40,4
61,Male,39,42574,98,3
62,Male,66,25240,12,2
63,Male,69,63221,53,1
64,Male,59,30478,71,1
65,Male,23,75645,10,0
66,Female,32,39262,45,4
67,Female,60,72796,17,2
68,Male,54,24432,26,4
69,Female,50,115257,85,5
70,Female,25,84291,92,3
71,Female,61,99104,62,5
72,Female,61,79399,46,2
73,Male,22,99714,64,0
74,Female,56,70428,2,2
75,Male,21,107731,54,0
76,Female,23,20302,65,3
77,Female,62,102558,51,5
78,Female,49,20055,53,1
79,Male,69,28717,36,1
80,Female,47,48699,26,4
81,Male,64,93686,29,2
82,Female,52,87661,21,2
83,Male,57,64247,11,2
84,Female,69,36748,40,1
85,Male,33,24621,11,4
86,Male,30,35034,36,4
87,Female,67,25126,59,1
88,Male,59,25122,39,1
89,Female,47,38030,99,1
90,Female,36,102838,54,0
91,Female,34,104717,98,5
92,Female,36,75658,55,0
93,Female,45,58638,24,4
94,Female,43,87067,22,2
95,Female,54,108869,69,5
96,Female,43,54674,56,4
97,Female,40,55854,33,4
98,Female,26,66271,36,0
99,Female,29,93688,20,0
100,Male,18,58518,83,3
101,Male,18,30267,99,3
102,Female,64,110825,81,5
103,Female,51,21062,62,1
104,Female,49,70448,98,5
105,Female,65,115462,73,5
106,Female,42,26229,26,4
107,Female,57,76793,66,5
108,Female,62,67915,73,1
109,Female,18,24632,73,3
110,Male,33,23596,40,4
111,Female,56,26168,17,4
112,Male,22,27561,1,4
113,Female,39,93794,89,5
114,Female,46,102152,61,5
115,Male,20,46734,43,4
116,Female,29,26371,42,4
117,Male,43,46069,25,4
118,Female,33,99905,39,0
119,Female,68,32910,35,1
120,Male,54,93479,3,2
121,Female,39,97735,44,0
122,Male,46,101264,51,5
123,Female,31,43275,94,3
124,Male,45,92274,98,5
125,Male,22,101449,12,0
126,Female,64,80004,19,2
127,Female,66,82981,44,2
128,Male,47,104659,59,5
129,Female,63,74553,49,2
130,Female,69,68447,61,1
131,Female,22,54529,17,4
132,Male,29,95703,74,0
133,Male,33,96090,57,0
134,Male,43,37260,55,4
135,Male,43,23812,47,4
136,Male,65,48024,12,2
137,Male,38,78656,62,0
138,Male,56,47285,80,1
139,Male,53,112436,88,5
140,Male,50,21605,83,1
141,Female,47,91158,8,2
142,Male,54,92303,95,5
143,Female,40,47139,21,4
144,Female,27,97149,81,0
145,Female,22,76138,87,3
146,Male,53,96125,80,5
147,Male,51,33918,70,1
148,Male,69,105655,72,5
149,Male,48,47446,25,4
150,Female,27,33046,82,3
151,Male,36,44818,89,3
152,Male,49,24324,12,4
153,Male,18,96323,15,0
154,Male,22,29111,59,3
155,Male,62,58110,26,2
156,Female,21,36389,26,4
157,Male,33,61427,47,4
158,Female,41,99579,32,0
159,Male,33,48746,10,4
160,Female,19,107886,16,0
161,Male,66,20117,71,1
162,Male,45,104471,17,2
163,Female,49,33234,23,4
164,Female,44,73441,26,2
165,Female,37,20846,85,3
166,Male,41,30954,86,3
167,Female,29,99239,7,0
168,Male,67,66514,14,2
169,Male,52,108236,79,5
170,Female,50,117579,7,2
171,Female,50,26469,9,4
172,Male,68,50105,48,1
173,Male,60,62101,72,1
174,Female,54,84323,59,5
175,Female,29,111922,87,0
176,Female,20,78067,93,3
177,Male,18,69376,82,3
178,Male,50,65587,95,5
179,Male,57,56976,94,1
180,Male,27,87584,39,0
181,Male,60,98477,99,5
182,Male,61,62533,18,2
183,Female,46,21828,59,1
184,Male,30,21917,17,4
185,Male,29,40618,14,4
186,Male,48,52254,31,4
187,Female,63,67362,24,2
188,Male,19,40128,99,3
189,Male,68,79383,60,5
190,Female,67,85545,45,2
191,Male,52,102180,98,5
192,Male,40,107958,3,0
193,Male,34,29865,37,4
194,Male,43,22219,43,4
195,Male,25,59809,40,4
196,Female,46,25287,90,1
197,Female,43,54387,55,4
198,Female,27,28512,87,3
199,Male,43,21342,39,4
200,Male,51,83076,15,2
201,Male,68,39216,4,2
202,Female,58,113070,93,5
203,Male,24,99767,86,0
204,Male,21,117829,25,0
205,Female,67,46614,13,2
206,Male,62,56258,82,1
207,Female,28,113789,33,0
208,Female,46,62078,16,2
209,Female,53,103524,42,2
210,Male,42,116573,66,5
211,Male,38,32219,55,4
212,Male,53,20235,99,1
213,Male,27,62929,42,0
214,Male,54,87444,34,2
215,Male,26,28567,30,4
216,Male,41,90792,13,0
217,Female,52,85441,13,2
218,Male,66,104555,18,2
219,Female,52,93698,32,2
220,Male,65,25415,96,1
221,Male,53,56159,99,1
222,Male,35,63925,39,4
223,Female,66,25951,46,1
224,Female,56,107388,29,2
225,Female,49,28007,62,1
226,Female,41,61832,93,3
227,Male,40,78596,62,0
228,Female,49,50523,57,1
229,Male,54,108861,16,2
230,Male,29,106740,56,0
231,Female,66,35524,10,2
232,Female,30,39282,30,4
233,Female,40,43930,25,4
234,Female,42,20077,84,1
235,Female,52,40611,5,4
236,Female,58,36984,65,1
237,Female,47,34060,94,1
238,Female,34,102985,49,0
239,Male,66,104056,3,2
240,Female,37,63303,45,4
241,Female,65,79207,14,2
242,Male,42,95046,30,0
243,Female,39,49287,68,3
244,Male,30,113709,18,0
245,Male,36,59711,62,3
246,Female,66,31954,37,1
247,Male,53,93340,25,2
248,Male,29,92101,48,0
249,Male,58,91520,65,5
250,Male,36,107062,53,0
251,Female,29,38574,79,3
252,Male,26,29184,73,3
253,Female,24,39096,15,4
254,Male,45,87728,49,0
255,Male,31,54016,88,3
256,Male,48,31246,68,1
257,Male,69,65558,12,2
258,Female,36,38381,59,3
259,Female,64,56455,37,2
260,Male,33,112263,61,0
261,Male,22,24018,43,4
262,Female,52,31302,70,1
263,Male,29,87506,39,0
264,Male,42,61157,56,4
265,Male,69,74917,63,5
266,Female,38,112738,46,0
267,Female,53,116646,88,5
268,Female,40,103122,11,0
269,Male,33,44519,62,3
270,Male,56,116809,77,5
271,Female,62,107487,98,5
272,Female,59,76819,25,2
273,Female,56,100910,71,5
274,Female,31,91324,52,0
275,Male,48,25408,4,4
276,Female,22,79379,59,0
277,Male,52,45053,72,1
278,Female,40,29446,20,4
279,Male,46,20922,93,1
280,Female,60,118723,63,5
281,Female,28,71356,54,0
282,Female,35,30789,74,3
283,Female,64,117720,98,5
284,Male,29,86656,57,0
285,Female,26,64028,90,3
286,Male,27,84484,41,0
287,Male,61,52154,3,2
288,Male,34,102870,6,0
289,Male,55,22336,5,4
290,Female,24,87779,5,0
291,Male,63,39029,54,1
292,Male,30,79201,47,0
293,Male,57,52265,87,1
294,Female,59,63872,49,2
295,Female,26,66197,9,4
296,Female,67,75180,99,5
297,Female,44,43710,20,4
298,Male,19,49486,61,3
299,Male,22,91907,35,0
300,Female,46,91895,50,5
301,Male,54,84435,82,5
302,Male,55,60631,62,1
303,Male,36,40103,17,4
304,Female,25,84772,88,3
305,Female,65,34382,3,2
306,Male,62,104291,32,2
307,Female,18,23756,99,3
308,Female,39,40609,13,4
309,Female,69,36478,89,1
310,Female,34,59666,73,3
311,Female,24,95683,68,0
312,Male,42,119097,14,0
313,Female,62,91315,98,5
314,Male,21,97834,11,0
315,Male,53,34153,56,1
316,Female,23,96325,67,0
317,Male,48,32999,92,1
318,Male,36,75318,29,0
319,Male,61,20814,9,4
320,Female,56,96077,67,5
321,Female,44,110474,25,0
322,Male,27,22443,98,3
323,Female,43,95993,76,5
324,Female,36,95916,42,0
325,Female,56,93319,9,2
326,Female,20,37368,79,3
327,Male,62,35328,40,1
328,Male,30,76942,25,0
329,Female,67,111751,5,2
330,Female,45,119131,11,0
331,Male,37,47306,59,3
332,Male,45,105451,98,5
333,Female,25,59915,88,3
334,Male,58,57219,79,1
335,Female,56,100879,38,2
336,Female,18,84644,72,0
337,Male,20,80279,5,0
338,Male,30,73028,48,0
339,Female,45,20126,90,1
340,Female,66,72329,18,2
341,Male,42,47632,70,3
342,Female,50,85310,37,2
343,Male,55,75176,60,5
344,Female,23,106066,48,0
345,Male,61,64327,77,1
346,Male,62,88904,28,2
347,Male,49,23797,69,1
348,Female,62,67882,77,1
349,Female,64,33718,81,1
350,Male,38,54560,40,4
351,Female,33,96589,45,0
352,Male,38,42116,96,3
353,Male,28,56244,62,3
354,Female,54,21645,93,1
355,Female,53,67523,58,1
356,Male,52,39256,67,1
357,Female,36,73173,56,0
358,Female,37,57430,40,4
359,Male,35,59282,98,3
360,Male,64,83374,40,2
361,Female,58,88244,91,5
362,Male,66,31694,77,1
363,Male,31,76264,33,0
364,Female,32,95060,6,0
365,Male,48,117416,88,5
366,Male,18,77545,19,0
367,Female,20,59224,80,3
368,Female,33,117945,40,0
369,Male,40,33224,92,3
370,Male,28,60738,97,3
371,Female,29,45150,59,3
372,Female,27,83731,59,0
373,Female,49,69688,48,2
374,Female,33,119929,41,0
375,Male,25,93509,13,0
376,Female,55,28577,45,1
377,Female,29,28070,89,3
378,Male,41,28666,53,4
379,Female,45,77761,42,2
380,Male,25,56368,100,3
381,Female,45,26783,63,1
382,Female,53,61914,27,2
383,Female,43,90507,38,0
384,Male,25,99026,60,0
385,Male,67,87526,7,2
386,Female,45,90835,5,2
387,Male,45,65765,45,4
388,Male,54,39956,58,1
389,Male,58,107895,31,2
390,Male,53,66240,23,2
391,Male,44,57148,42,4
392,Male,34,114270,10,0
393,Female,26,24757,32,4
394,Female,50,39097,53,1
395,Male,37,30395,30,4
396,Female,30,36241,39,4
397,Female,45,47696,31,4
398,Female,65,90480,82,5
399,Female,46,66163,100,5
400,Male,30,39816,2,4
401,Female,63,69840,78,5
402,Female,52,72853,77,5
403,Male,23,44917,93,3
404,Male,35,116731,12,0
405,Female,68,41566,39,1
406,Female,22,95452,66,0
407,Female,64,82823,96,5
408,Female,42,40806,13,4
409,Female,19,95520,46,0
410,Female,27,21759,27,4
411,Male,47,61949,17,2
412,Female,67,112374,95,5
413,Female,62,22482,98,1
414,Male,22,44442,60,3
415,Male,50,53719,64,1
416,Male,18,78066,88,3
417,Male,35,113501,35,0
418,Female,49,22079,70,1
419,Female,64,22717,83,1
420,Female,66,79676,30,2
421,Female,28,47952,71,3
422,Female,38,106444,74,5
423,Female,43,62460,96,3
424,Male,42,110397,98,5
425,Female,39,92847,63,0
426,Male,44,113607,28,0
427,Male,66,109106,60,5
428,Female,30,38449,79,3
429,Male,50,53536,94,1
430,Female,51,84077,37,2
431,Male,58,58258,93,1
432,Female,52,68302,22,2
433,Male,18,48865,68,3
434,Female,38,26645,20,4
435,Female,65,58000,96,1
436,Female,23,46737,100,3
437,Female,45,31485,68,1
438,Female,34,58565,91,3
439,Male,22,45522,64,3
440,Male,48,85155,17,2
441,Male,22,75168,12,0
442,Female,55,72487,22,2
443,Male,20,32342,17,4
444,Female,40,60806,10,4
445,Female,54,68770,65,5
446,Male,54,98623,22,2
447,Male,27,119785,90,0
448,Female,27,95629,82,0
449,Male,36,72603,50,0
450,Female,34,101974,14,0
451,Female,38,46399,64,3
452,Female,31,105382,47,0
453,Female,26,101244,29,0
454,Female,63,96534,76,5
455,Male,18,75106,36,0
456,Male,68,50678,99,1
457,Female,62,96218,52,5
458,Female,30,83230,76,3
459,Male,21,94055,7,0
460,Male,18,76373,29,0
461,Female,66,51480,11,2
462,Male,57,105230,33,2
463,Female,49,88836,6,2
464,Male,51,92258,79,5
465,Female,45,59986,32,4
466,Male,48,44160,51,1
467,Female,25,105595,75,0
468,Male,56,99111,58,5
469,Male,43,84929,87,5
470,Female,51,93506,26,2
471,Male,20,54911,98,3
472,Female,67,107127,46,2
473,Male,29,51821,98,3
474,Female,18,95039,29,0
475,Male,61,80535,4,2
476,Female,22,104458,81,0
477,Male,47,32175,99,1
478,Female,47,74771,13,2
479,Male,34,106925,39,0
480,Female,65,86358,15,2
481,Female,64,37327,29,2
482,Female,40,67057,29,4
483,Male,32,26150,75,3
484,Female,54,24425,32,4
485,Male,38,36032,2,4
486,Female,31,22198,47,4
487,Male,19,80500,78,3
488,Female,28,73394,84,3
489,Male,68,40079,22,2
490,Male,56,56220,75,1
491,Female,55,61874,27,2
492,Male,51,33859,67,1
493,Male,55,70460,81,5
494,Female,67,51419,56,1
495,Male,51,28705,92,1
496,Male,35,62880,93,3
497,Male,47,43236,21,4
498,Female,32,107955,47,0
499,Male,44,105514,80,5
500,Female,68,35358,59,1
