CustomerID,Gender,Age,Annual_Income,Spending_Score
1,Male,38,81886,2
2,Female,49,95745,67
3,Male,40,103251,87
4,Male,50,114456,12
5,Male,20,73413,20
6,Female,35,76800,5
7,Male,42,117239,37
8,Male,59,62318,38
9,Male,48,90173,94
10,Female,20,90390,9
11,Male,57,72329,98
12,Male,63,63088,53
13,Male,41,59811,44
14,Male,67,75479,99
15,Female,49,105392,86
16,Male,64,107369,24
17,Female,39,39963,81
18,Female,40,75123,74
19,Female,19,112705,30
20,Male,44,93477,59
21,Female,59,34388,87
22,Male,19,25569,96
23,Female,43,89836,81
24,Female,34,56586,81
25,Female,57,32015,14
26,Female,50,65002,9
27,Female,26,26254,40
28,Female,60,37144,66
29,Female,65,44214,25
30,Female,56,100719,73
31,Male,46,91774,22
32,Male,59,26090,4
33,Female,43,31637,26
34,Female,52,42415,58
35,Female,67,44071,29
36,Male,42,78243,98
37,Female,41,61240,87
38,Male,30,103807,37
39,Male,24,53434,75
40,Male,53,89724,70
41,Male,62,95697,18
42,Male,37,48732,85
43,Female,18,31314,42
44,Female,25,43954,100
45,Female,63,77108,41
46,Female,33,107044,38
47,Female,31,107505,34
48,Male,29,56668,17
49,Female,68,43061,37
50,Female,40,99252,25
51,Male,32,59749,76
52,Female,45,36907,87
53,Male,51,38777,86
54,Female,19,113229,85
55,Male,49,71745,27
56,Female,40,111865,57
57,Female,39,101818,31
58,Male,68,43624,6
59,Male,42,43321,91
60,Male,39,30488,40
61,Male,39,42574,98
62,Male,66,25240,12
63,Male,69,63221,53
64,Male,59,30478,71
65,Male,23,75645,10
66,Female,32,39262,45
67,Female,60,72796,17
68,Male,54,24432,26
69,Female,50,115257,85
70,Female,25,84291,92
71,Female,61,99104,62
72,Female,61,79399,46
73,Male,22,99714,64
74,Female,56,70428,2
75,Male,21,107731,54
76,Female,23,20302,65
77,Female,62,102558,51
78,Female,49,20055,53
79,Male,69,28717,36
80,Female,47,48699,26
81,Male,64,93686,29
82,Female,52,87661,21
83,Male,57,64247,11
84,Female,69,36748,40
85,Male,33,24621,11
86,Male,30,35034,36
87,Female,67,25126,59
88,Male,59,25122,39
89,Female,47,38030,99
90,Female,36,102838,54
91,Female,34,104717,98
92,Female,36,75658,55
93,Female,45,58638,24
94,Female,43,87067,22
95,Female,54,108869,69
96,Female,43,54674,56
97,Female,40,55854,33
98,Female,26,66271,36
99,Female,29,93688,20
100,Male,18,58518,83
101,Male,18,30267,99
102,Female,64,110825,81
103,Female,51,21062,62
104,Female,49,70448,98
105,Female,65,115462,73
106,Female,42,26229,26
107,Female,57,76793,66
108,Female,62,67915,73
109,Female,18,24632,73
110,Male,33,23596,40
111,Female,56,26168,17
112,Male,22,27561,1
113,Female,39,93794,89
114,Female,46,102152,61
115,Male,20,46734,43
116,Female,29,26371,42
117,Male,43,46069,25
118,Female,33,99905,39
119,Female,68,32910,35
120,Male,54,93479,3
121,Female,39,97735,44
122,Male,46,101264,51
123,Female,31,43275,94
124,Male,45,92274,98
125,Male,22,101449,12
126,Female,64,80004,19
127,Female,66,82981,44
128,Male,47,104659,59
129,Female,63,74553,49
130,Female,69,68447,61
131,Female,22,54529,17
132,Male,29,95703,74
133,Male,33,96090,57
134,Male,43,37260,55
135,Male,43,23812,47
136,Male,65,48024,12
137,Male,38,78656,62
138,Male,56,47285,80
139,Male,53,112436,88
140,Male,50,21605,83
141,Female,47,91158,8
142,Male,54,92303,95
143,Female,40,47139,21
144,Female,27,97149,81
145,Female,22,76138,87
146,Male,53,96125,80
147,Male,51,33918,70
148,Male,69,105655,72
149,Male,48,47446,25
150,Female,27,33046,82
151,Male,36,44818,89
152,Male,49,24324,12
153,Male,18,96323,15
154,Male,22,29111,59
155,Male,62,58110,26
156,Female,21,36389,26
157,Male,33,61427,47
158,Female,41,99579,32
159,Male,33,48746,10
160,Female,19,107886,16
161,Male,66,20117,71
162,Male,45,104471,17
163,Female,49,33234,23
164,Female,44,73441,26
165,Female,37,20846,85
166,Male,41,30954,86
167,Female,29,99239,7
168,Male,67,66514,14
169,Male,52,108236,79
170,Female,50,117579,7
171,Female,50,26469,9
172,Male,68,50105,48
173,Male,60,62101,72
174,Female,54,84323,59
175,Female,29,111922,87
176,Female,20,78067,93
177,Male,18,69376,82
178,Male,50,65587,95
179,Male,57,56976,94
180,Male,27,87584,39
181,Male,60,98477,99
182,Male,61,62533,18
183,Female,46,21828,59
184,Male,30,21917,17
185,Male,29,40618,14
186,Male,48,52254,31
187,Female,63,67362,24
188,Male,19,40128,99
189,Male,68,79383,60
190,Female,67,85545,45
191,Male,52,102180,98
192,Male,40,107958,3
193,Male,34,29865,37
194,Male,43,22219,43
195,Male,25,59809,40
196,Female,46,25287,90
197,Female,43,54387,55
198,Female,27,28512,87
199,Male,43,21342,39
200,Male,51,83076,15
201,Male,68,39216,4
202,Female,58,113070,93
203,Male,24,99767,86
204,Male,21,117829,25
205,Female,67,46614,13
206,Male,62,56258,82
207,Female,28,113789,33
208,Female,46,62078,16
209,Female,53,103524,42
210,Male,42,116573,66
211,Male,38,32219,55
